# Netscape HTTP Cookie File
# https://curl.se/docs/http-cookies.html
# This file was generated by libcurl! Edit at your own risk.

#HttpOnly_.weebly.com	TRUE	/	FALSE	1716340857	__cf_bm	RO3qlmqS_TZwla77aF2ucc4rvKLRYoPF_Tj4XO5cJuU-1716339057-1.0.1.1-mpDeDdNBliSzN9nxD6.nVYffvqRR3WNTODNKivLxrcCyHSlcLG9_ouby3fnfxh9isHgaVo7TRMMA8._r8N.0aQ
#HttpOnly_www.alignable.com	FALSE	/	TRUE	1716868409	_AlignableWeb_session	5fbc176673504bac16e39a9c85001784
#HttpOnly_www.cvmatx23-1.org	FALSE	/	FALSE	1717473178	PublishedSiteSession	eyJpdiI6IlhRK3pNc1h6Mm9ZZGZSUnpQOEoydGc9PSIsInZhbHVlIjoiSDZPdlRTWEw4Zm9nVldyRTNMQnQ4T0lrRThRV09Camh5N0lWVy9TdkRKUjQweWtPTUltaCtPZFo3TFBTQmdtT3pNalhYUEV5U3JoNzBDWFE4OWdEdFl2L1M2SHFGNUlJOTExbmhuQTg0cUswR29laEZjVStzTm5sMWRBRFJWM3AiLCJtYWMiOiJlODc5YWRmYzA3ZWQ3ZTAwMWRkMzI0ZThiYjgxNDY4ZmE0M2VkOTc5NmY3OWM4MTllZTUyZjI4YTI2NGY3MWYwIiwidGFnIjoiIn0%3D
www.cvmatx23-1.org	FALSE	/	FALSE	1717473178	XSRF-TOKEN	eyJpdiI6Ilhhc3h0YnFSVnpwZGFCRWRXaFVhcnc9PSIsInZhbHVlIjoiVGpFRjlDZk5VZlFoL0tOZFZXN1ZuNmZVbFN1NjhVK1loTkh3bjNWOU1ncU5ablViR1o2VW9KRHhTcUU2MjVNRXRDR3EvbVhleWlvWUhZck42ZTRSZk1qUDJmMEt5L2pkakJnd3RLQlJRQnliYlk0Q0N4TFlQNHl0RGlsWERtcTEiLCJtYWMiOiJhZmNjZGNjMWYzMDA5MDc0NzgwNDAxMmYxNjg0M2VhYmI0NDUwYTg0YjcyYzc5MmRlNTU2MmQ5NTVmMDUyMjllIiwidGFnIjoiIn0%3D
www.cvmatx23-1.org	FALSE	/	FALSE	1717473178	publishedsite-xsrf	eyJpdiI6Ik9XWVovUGU4MEpTS2ZTZDJqUXZXOWc9PSIsInZhbHVlIjoiLy9VM3FvT1d6aVNRR0tqSUtkZWNQVEh0dUQrd2NxYTdmMUFMeGF4dHRJcEYyNXNEazRrdEhUWHVMNGJYVzNSNTFPMkNkTkk1L3ZIMU5tNkVWZkRSSXovQUo0V0RaODNFWmttdUlXRUJaUDNyVUxNbmd2YU9sU2ttNUtSbHk5OEUiLCJtYWMiOiJlNjc4ZTgwZTgxMzIzODU1NWFlOTBkYTJkN2NhZjU0ZWY4MzliYTIxM2EwZWRlN2RiZWFlMzRjYWI5ZTg3NTI1IiwidGFnIjoiIn0%3D
www.ricombatvets.org	FALSE	/	FALSE	1717473160	language	en
www.cvma224.com	FALSE	/	FALSE	1717473155	language	en
#HttpOnly_www.mcalester-combat-vets.com	FALSE	/	TRUE	1718855546	JwStickySession	D01Y5u5TNtslj6fy%2FDtLDwiVlQrmgOEv
cvma12-2.weebly.com	FALSE	/	FALSE	1717473134	language	en
#HttpOnly_.www.cvmamd40-3.org	TRUE	/	TRUE	1779335477	svSession	041ef75c96ddd604eb34eecee234fbbc6066b18b6b1ad576fd0b0f44f1afde3d18651c7ac7db6a6247a0ec1b5faf992d1e60994d53964e647acf431e4f798bcd5a0a3abb768df11ff511d7763547391a36afd06e4719c307c42fe4fe550ea16ea30056aa56fa8130406fc89c68722a00216c8edd421d45f4e9863c991a8240280913158a38898247f50086e0c1882f28
#HttpOnly_.facebook.com	TRUE	/	TRUE	1750823471	sb	LxpMZrONsSC9rBw6DJNwu_xz
#HttpOnly_.facebook.com	TRUE	/	TRUE	1724039483	fr	03pxsCG82hJwX02eU..BmTBov..AAA.0.0.BmTBo7.AWXkBWDgZOE
cvma1-5.weebly.com	FALSE	/	FALSE	1717473070	language	en
#HttpOnly_accounts.google.com	FALSE	/	TRUE	1779335453	__Host-GAPS	1:Ees1KRuXuIj9_YbQwMr9ZT5XIZmSMg:i5UIkBavuMzL6Hze
